PerformanceID,EmployeeID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
PERF2074,EMP1528,2023-08-31,5,4,1,0,2,3,5,1
PERF2075,EMP2088,2023-04-02,2,3,1,4,1,2,2,2
PERF2076,EMP1348,2024-07-27,3,2,1,5,1,2,2,2
PERF2077,EMP2253,2022-11-03,4,3,4,3,2,3,3,4
PERF2078,EMP1730,2022-08-09,3,5,1,4,3,1,2,1
PERF2079,EMP1139,2022-02-28,3,3,2,3,1,4,5,4
PERF2080,EMP1252,2023-05-18,2,5,1,4,1,4,5,2
PERF2081,EMP2138,2023-01-18,4,1,3,2,4,2,5,5
PERF2082,EMP2232,2023-07-01,5,2,1,0,5,2,4,3
PERF2083,EMP1962,2022-05-22,1,5,3,2,4,2,4,1
PERF2084,EMP1914,2024-11-05,4,3,2,2,2,2,3,2
PERF2085,EMP1719,2022-06-12,4,2,2,0,1,4,1,5
PERF2086,EMP2285,2022-02-22,3,3,2,2,3,2,2,3
PERF2087,EMP1905,2023-02-04,2,3,4,5,0,4,1,4
PERF2088,EMP1451,2024-02-21,4,4,2,3,5,5,3,3
PERF2089,EMP1793,2022-01-12,3,2,4,1,2,1,4,5
PERF2090,EMP1598,2022-07-28,3,3,1,2,1,2,4,2
PERF2091,EMP2452,2023-05-04,3,5,4,3,3,3,2,3
PERF2092,EMP1182,2024-03-29,4,4,4,2,2,2,5,1
PERF2093,EMP2456,2023-10-01,2,1,2,3,3,5,5,5
PERF2094,EMP2110,2022-09-11,5,2,5,5,2,3,3,3
PERF2095,EMP1811,2024-01-02,3,1,1,3,3,1,1,5
PERF2096,EMP2017,2024-09-28,2,3,4,2,0,5,5,5
PERF2097,EMP1959,2024-05-28,3,3,5,5,2,2,3,1
PERF2098,EMP1135,2022-11-07,5,3,5,4,2,1,4,1
PERF2099,EMP1396,2024-06-14,3,4,4,1,5,5,2,1
PERF2100,EMP1318,2022-10-27,4,4,2,2,3,1,2,4
PERF2101,EMP2286,2024-12-25,4,1,2,5,3,1,1,2
PERF2102,EMP1874,2024-09-13,1,2,3,0,2,5,5,5
PERF2103,EMP1163,2023-05-03,5,2,1,4,3,5,3,4
PERF2104,EMP2316,2022-04-18,5,2,3,5,1,4,3,3
PERF2105,EMP2127,2022-01-24,4,5,1,1,3,1,2,2
PERF2106,EMP2433,2023-06-17,1,2,3,0,4,5,5,4
PERF2107,EMP2487,2023-01-24,3,1,5,5,2,4,5,3
PERF2108,EMP1775,2024-09-17,2,1,1,2,5,1,1,3
PERF2109,EMP2331,2023-08-17,2,4,3,5,5,3,2,3
PERF2110,EMP1787,2022-08-25,4,5,4,2,5,3,4,1
PERF2111,EMP1728,2024-06-19,1,4,1,0,3,5,4,1
PERF2112,EMP2173,2023-10-21,4,3,4,4,1,4,1,2
PERF2113,EMP2234,2022-04-17,3,4,5,4,1,5,4,5
PERF2114,EMP1649,2024-06-25,4,2,2,1,3,5,2,2
PERF2115,EMP1964,2022-01-26,3,2,4,2,0,3,2,5
PERF2116,EMP1165,2023-04-03,4,2,3,0,3,4,3,4
PERF2117,EMP2185,2022-05-17,2,4,3,2,3,4,1,2
PERF2118,EMP1218,2022-04-03,1,5,1,0,0,1,2,2
PERF2119,EMP1855,2023-12-18,2,5,5,1,0,2,1,5
PERF2120,EMP1156,2023-12-09,3,1,2,2,0,1,3,2
PERF2121,EMP1215,2022-07-28,1,5,4,2,0,3,5,2
PERF2122,EMP1890,2023-06-17,1,2,4,0,3,4,4,5
PERF2123,EMP1380,2024-05-23,5,3,4,2,0,3,3,5
PERF2124,EMP1260,2022-03-13,4,1,1,3,2,2,5,3
PERF2125,EMP1409,2024-09-13,4,2,1,4,3,5,5,1
PERF2126,EMP1323,2023-10-25,2,2,5,5,3,2,5,5
PERF2127,EMP1633,2022-08-05,3,2,2,0,3,1,3,2
PERF2128,EMP2076,2022-11-10,3,5,5,0,2,2,3,2
PERF2129,EMP1091,2023-10-13,3,3,3,0,3,3,4,4
PERF2130,EMP2211,2024-07-05,5,3,2,2,0,3,4,5
PERF2131,EMP1422,2022-07-22,1,1,3,0,4,5,2,1
PERF2132,EMP1223,2023-10-08,5,3,4,4,1,2,4,4
PERF2133,EMP1705,2022-12-20,5,3,5,3,1,5,3,3
PERF2134,EMP1440,2022-10-11,5,4,2,0,0,3,1,4
PERF2135,EMP1246,2023-09-29,4,2,1,5,4,1,4,2
PERF2136,EMP1640,2023-12-28,2,4,5,4,3,4,5,1
PERF2137,EMP2341,2023-07-30,3,2,2,0,5,1,4,4
PERF2138,EMP2252,2022-09-02,5,4,3,1,0,1,3,5
PERF2139,EMP1103,2023-02-04,1,3,2,4,3,4,1,3
PERF2140,EMP2043,2024-10-25,2,4,3,0,1,2,1,2
PERF2141,EMP1805,2023-12-09,3,4,3,1,3,4,3,1
PERF2142,EMP2006,2024-05-31,2,4,1,0,1,3,4,3
PERF2143,EMP1782,2022-03-08,4,2,2,4,3,2,1,3
PERF2144,EMP1236,2024-05-12,4,2,5,1,2,4,5,2
PERF2145,EMP1358,2022-06-07,2,5,1,1,4,2,5,4
PERF2146,EMP2376,2023-09-17,5,3,4,4,0,5,2,1
PERF2147,EMP1052,2024-06-02,2,1,1,2,2,5,5,2
PERF2148,EMP2368,2022-04-18,3,1,3,3,3,1,3,5
PERF2149,EMP2325,2022-01-01,5,2,4,3,3,2,1,1
PERF2150,EMP1779,2022-08-31,4,4,5,0,4,2,1,5
PERF2151,EMP1894,2024-04-04,3,4,5,4,0,5,3,1
PERF2152,EMP1164,2024-09-10,2,4,4,4,1,3,2,1
PERF2153,EMP1237,2023-01-09,3,5,2,4,4,3,4,4
PERF2154,EMP1506,2023-02-10,3,5,2,2,3,2,3,4
PERF2155,EMP1072,2022-06-30,5,2,5,0,4,5,1,5
PERF2156,EMP1685,2022-03-31,3,2,1,3,3,3,5,4
PERF2157,EMP1949,2022-07-28,5,1,1,1,0,5,3,2
PERF2158,EMP1390,2024-03-25,2,1,4,5,0,1,4,5
PERF2159,EMP2050,2023-03-01,2,4,3,2,1,1,2,4
PERF2160,EMP1608,2024-05-30,4,1,3,5,3,3,3,3
PERF2161,EMP2014,2022-01-07,1,4,4,2,4,3,4,2
PERF2162,EMP2115,2024-05-09,3,4,2,1,2,5,4,4
PERF2163,EMP1132,2023-11-17,4,1,5,5,0,1,1,3
PERF2164,EMP1205,2022-08-05,2,1,4,3,3,3,3,1
PERF2165,EMP1013,2023-08-10,5,3,3,1,5,4,2,5
PERF2166,EMP2163,2022-09-19,2,3,4,1,0,1,1,2
PERF2167,EMP1364,2023-04-17,1,1,3,2,1,5,5,2
PERF2168,EMP1133,2024-02-21,2,2,3,2,5,5,3,4
PERF2169,EMP1129,2024-12-25,4,5,3,5,4,2,3,1
PERF2170,EMP1336,2023-10-25,1,4,5,5,2,4,4,2
PERF2171,EMP1151,2022-03-05,2,3,4,3,0,4,3,1
PERF2172,EMP2300,2024-06-22,1,5,4,2,0,2,3,4
PERF2173,EMP1545,2023-11-23,1,4,2,4,0,3,2,2
PERF2174,EMP2489,2023-12-21,4,3,5,0,1,5,2,4
PERF2175,EMP2239,2023-12-29,3,4,3,5,2,4,4,3
PERF2176,EMP1328,2024-01-01,5,3,5,0,1,5,4,3
PERF2177,EMP2357,2023-11-30,1,2,5,5,0,5,2,3
PERF2178,EMP2335,2023-10-22,5,2,5,1,4,4,3,1
PERF2179,EMP1922,2023-03-14,5,2,2,3,5,4,2,3
PERF2180,EMP2481,2023-08-15,4,3,4,0,5,5,3,3
PERF2181,EMP2138,2023-03-17,4,1,2,1,1,4,1,3
PERF2182,EMP1100,2022-06-21,3,2,3,2,2,5,3,2
PERF2183,EMP2042,2024-12-16,3,1,3,4,5,2,1,4
PERF2184,EMP2230,2024-11-10,1,4,2,4,0,3,1,1
PERF2185,EMP1902,2023-06-16,1,3,1,4,5,2,3,5
PERF2186,EMP1386,2022-10-26,5,3,2,4,5,5,3,3
PERF2187,EMP1636,2023-01-12,4,4,2,2,4,2,1,1
PERF2188,EMP1015,2024-09-12,4,5,2,1,0,4,2,1
PERF2189,EMP1241,2023-11-18,1,3,2,1,1,4,2,4
PERF2190,EMP1245,2023-03-10,1,4,5,2,3,5,5,5
PERF2191,EMP2026,2022-07-11,4,2,5,5,2,2,3,5
PERF2192,EMP2097,2022-01-14,1,4,1,5,5,5,3,1
PERF2193,EMP1047,2023-05-05,3,3,2,4,4,3,4,4
PERF2194,EMP1029,2023-10-10,2,4,4,4,4,5,3,2
PERF2195,EMP2406,2024-09-22,2,4,4,5,1,1,4,1
PERF2196,EMP2016,2022-02-01,4,4,2,4,5,5,3,5
PERF2197,EMP1200,2024-10-27,4,4,5,5,0,4,3,5
PERF2198,EMP1568,2024-07-01,3,5,1,4,1,2,2,1
PERF2199,EMP1818,2023-05-07,5,2,1,3,3,4,4,5
PERF2200,EMP2383,2024-09-29,1,2,1,2,3,1,3,3
PERF2201,EMP1784,2023-08-19,5,5,5,2,4,4,5,2
PERF2202,EMP1662,2022-06-18,2,3,5,3,0,3,2,4
PERF2203,EMP1218,2024-06-29,3,5,2,1,4,3,2,2
PERF2204,EMP1153,2024-10-16,1,4,5,4,4,5,4,3
PERF2205,EMP1268,2024-07-26,4,3,4,4,1,4,5,4
PERF2206,EMP1347,2023-12-14,5,4,5,5,4,5,5,1
PERF2207,EMP1048,2023-12-22,4,3,5,0,1,3,4,3
PERF2208,EMP2248,2024-06-27,3,5,2,0,2,2,1,3
PERF2209,EMP2201,2023-01-23,1,5,5,0,3,3,5,1
PERF2210,EMP1337,2024-07-26,1,1,4,4,3,2,4,1
PERF2211,EMP1183,2023-06-08,4,2,5,0,2,1,1,1
PERF2212,EMP1659,2023-05-04,1,1,1,3,4,3,4,3
PERF2213,EMP1627,2022-04-24,5,3,2,4,2,3,1,4
PERF2214,EMP2368,2023-10-06,3,4,4,2,0,3,3,2
PERF2215,EMP2239,2022-12-26,1,5,3,4,5,2,1,2
PERF2216,EMP1944,2022-08-19,1,5,3,4,3,3,4,5
PERF2217,EMP1640,2022-12-31,3,5,3,2,3,1,1,3
PERF2218,EMP1967,2022-04-09,2,1,3,3,2,3,4,5
PERF2219,EMP2119,2022-12-13,3,2,3,5,3,1,3,3
PERF2220,EMP1698,2024-11-01,5,5,4,3,2,3,1,2
PERF2221,EMP2350,2022-05-14,5,1,3,2,2,1,4,2
PERF2222,EMP1579,2022-11-10,5,1,3,3,2,3,1,1
PERF2223,EMP1073,2022-09-19,3,3,5,2,2,3,1,1
PERF2224,EMP1795,2024-09-04,4,5,1,3,4,5,3,5
PERF2225,EMP2442,2024-04-24,1,1,2,3,5,4,3,4
PERF2226,EMP2304,2024-07-11,5,3,1,0,2,1,4,4
PERF2227,EMP1034,2023-02-02,5,2,2,5,1,2,2,4
PERF2228,EMP1053,2022-11-07,3,4,1,5,0,3,5,1
PERF2229,EMP1190,2023-03-11,3,4,4,4,3,3,3,3
PERF2230,EMP1950,2022-05-25,1,3,2,1,2,4,1,3
PERF2231,EMP2484,2022-04-29,1,1,5,3,0,3,4,3
PERF2232,EMP1882,2024-10-07,1,4,5,0,5,2,3,3
PERF2233,EMP1376,2024-11-20,5,2,4,4,2,4,1,2
PERF2234,EMP1956,2022-01-11,4,1,5,1,4,4,3,5
PERF2235,EMP1155,2023-04-05,1,4,1,3,4,5,3,4
PERF2236,EMP2244,2023-04-26,1,5,1,0,0,1,4,1
PERF2237,EMP2170,2024-01-14,3,1,3,0,3,3,3,3
PERF2238,EMP2020,2024-02-14,5,4,1,4,3,5,3,5
PERF2239,EMP1894,2024-12-19,5,2,2,3,0,4,4,1
PERF2240,EMP1154,2024-03-01,5,1,4,5,1,2,5,3
PERF2241,EMP1158,2023-02-02,2,3,1,4,0,3,4,3
PERF2242,EMP2371,2024-11-27,1,4,4,1,1,2,1,5
PERF2243,EMP1048,2022-11-18,3,3,5,5,0,5,2,3
PERF2244,EMP1133,2024-10-12,1,1,1,0,2,4,1,3
PERF2245,EMP1499,2023-11-25,2,4,5,3,1,2,3,4
PERF2246,EMP2065,2024-10-19,4,1,2,2,0,5,4,3
PERF2247,EMP1580,2022-06-08,3,4,2,4,4,2,4,1
PERF2248,EMP1960,2024-07-16,4,3,2,2,1,3,5,2
PERF2249,EMP2419,2023-04-20,2,2,2,0,1,1,1,3
PERF2250,EMP1715,2023-07-23,1,1,5,0,2,3,4,5
PERF2251,EMP1915,2023-05-05,5,2,3,0,2,5,1,1
PERF2252,EMP1595,2022-08-11,3,2,4,0,5,1,4,1
PERF2253,EMP2203,2022-07-02,1,3,3,5,2,5,3,1
PERF2254,EMP1782,2022-09-19,1,5,4,2,4,4,2,2
PERF2255,EMP1976,2023-11-02,1,5,2,4,2,4,1,4
PERF2256,EMP2477,2024-02-03,3,3,4,1,1,4,1,1
PERF2257,EMP1399,2022-10-30,5,2,5,0,1,2,2,5
PERF2258,EMP1103,2022-08-04,4,4,5,1,1,5,4,1
PERF2259,EMP2477,2022-02-25,3,4,3,3,2,5,4,1
PERF2260,EMP2183,2022-02-12,3,5,3,2,5,2,5,2
PERF2261,EMP1774,2024-02-03,1,3,4,3,4,1,4,5
PERF2262,EMP2362,2024-05-09,3,5,5,2,5,4,1,5
PERF2263,EMP1968,2023-01-16,5,2,3,5,3,5,5,2
PERF2264,EMP1937,2024-10-31,3,4,1,3,3,5,3,2
PERF2265,EMP2152,2022-04-12,5,4,4,0,1,4,3,3
PERF2266,EMP1822,2023-08-29,4,2,3,4,1,1,3,4
PERF2267,EMP1248,2022-12-26,1,2,4,1,0,5,4,1
PERF2268,EMP1685,2023-03-23,1,5,5,4,4,1,1,3
PERF2269,EMP1780,2023-05-01,3,5,5,2,3,1,2,4
PERF2270,EMP2424,2023-01-01,3,3,1,5,1,3,3,2
PERF2271,EMP1415,2023-01-09,4,1,3,3,2,5,2,2
PERF2272,EMP1214,2023-01-28,4,5,3,1,5,3,2,4
PERF2273,EMP1451,2023-12-15,1,1,3,2,3,1,1,1
PERF2274,EMP2363,2023-08-07,3,3,5,1,5,1,5,4
PERF2275,EMP1709,2024-11-21,3,3,5,3,5,5,3,1
PERF2276,EMP2192,2022-10-23,5,3,4,4,3,4,4,4
PERF2277,EMP1795,2022-08-28,2,3,2,2,2,5,5,3
PERF2278,EMP1924,2022-04-12,2,1,5,4,5,5,3,5
PERF2279,EMP1482,2022-09-11,2,1,4,4,4,5,5,5
PERF2280,EMP2389,2024-06-28,5,2,5,5,3,5,4,1
PERF2281,EMP1792,2024-07-28,4,5,5,2,2,4,2,3
PERF2282,EMP2087,2023-05-07,1,3,3,2,3,5,4,2
PERF2283,EMP2384,2023-07-22,1,2,1,2,3,2,2,2
PERF2284,EMP1210,2024-11-24,5,1,3,3,4,1,1,3
PERF2285,EMP1276,2023-06-10,2,1,5,3,5,1,5,2
PERF2286,EMP1213,2023-03-08,1,4,1,4,3,2,4,2
PERF2287,EMP1406,2022-04-13,4,4,2,5,5,4,4,4
PERF2288,EMP1293,2024-06-19,3,4,2,3,1,1,3,1
PERF2289,EMP2051,2024-08-22,2,5,4,0,3,2,4,2
PERF2290,EMP1324,2023-06-14,5,2,3,3,4,5,4,5
PERF2291,EMP1989,2022-06-11,2,1,3,0,0,1,5,3
PERF2292,EMP2425,2023-02-06,1,2,2,3,1,4,2,4
PERF2293,EMP1345,2024-01-19,4,4,5,4,5,5,3,4
PERF2294,EMP1874,2024-06-02,4,3,2,1,2,2,1,1
PERF2295,EMP1089,2023-01-05,2,4,4,1,3,1,2,4
PERF2296,EMP1490,2022-06-22,5,2,5,1,4,3,3,3
PERF2297,EMP1959,2024-05-20,4,1,5,4,4,3,4,2
PERF2298,EMP1837,2022-07-07,4,3,3,4,3,2,1,1
PERF2299,EMP1147,2023-11-29,2,4,2,2,5,5,3,4
PERF2300,EMP1845,2023-04-12,2,1,2,1,5,3,5,1
PERF2301,EMP1161,2024-11-23,3,2,1,2,5,1,4,5
PERF2302,EMP2037,2024-10-13,5,5,5,3,3,3,1,4
PERF2303,EMP1432,2022-03-20,4,1,2,4,1,4,4,5
PERF2304,EMP2465,2024-05-02,5,2,1,0,3,3,1,1
PERF2305,EMP1176,2022-08-18,2,5,5,5,2,4,2,3
PERF2306,EMP2286,2023-11-25,5,5,1,0,3,4,3,4
PERF2307,EMP1425,2022-11-18,2,5,5,3,5,5,5,1
PERF2308,EMP1997,2023-01-06,2,1,2,5,4,5,5,4
PERF2309,EMP1050,2023-10-30,3,3,3,1,0,1,4,2
PERF2310,EMP1594,2023-06-23,3,5,1,3,4,5,4,4
PERF2311,EMP1093,2024-04-07,4,4,2,0,1,2,5,3
PERF2312,EMP1592,2023-07-22,5,5,1,2,3,4,2,4
PERF2313,EMP2137,2024-05-04,1,1,4,3,4,2,5,2
PERF2314,EMP1269,2023-06-05,4,2,5,5,5,1,5,3
PERF2315,EMP2371,2022-08-01,5,3,4,0,5,4,1,3
PERF2316,EMP1386,2024-07-06,5,5,2,1,4,5,5,3
PERF2317,EMP1666,2023-06-24,4,1,3,0,5,1,5,5
PERF2318,EMP2050,2024-01-02,5,5,2,0,3,1,1,4
PERF2319,EMP1447,2022-10-30,5,2,1,4,3,1,3,2
PERF2320,EMP1557,2023-12-14,3,5,5,1,2,4,4,1
PERF2321,EMP1270,2024-11-18,3,2,5,3,5,1,5,4
PERF2322,EMP1998,2024-01-19,2,5,4,1,1,5,1,3
PERF2323,EMP1103,2022-02-09,1,2,4,4,1,3,2,5
PERF2324,EMP1599,2024-07-11,1,4,5,2,1,3,4,2
PERF2325,EMP1607,2022-09-22,5,1,2,3,1,5,4,1
PERF2326,EMP2465,2024-01-01,3,3,5,3,3,1,3,1
PERF2327,EMP2179,2022-08-08,1,2,2,5,3,2,5,2
PERF2328,EMP1205,2022-11-27,5,5,3,1,2,2,3,1
PERF2329,EMP1285,2022-09-28,2,5,4,3,4,2,4,2
PERF2330,EMP1278,2024-02-26,1,3,3,4,0,4,3,1
PERF2331,EMP2151,2024-10-28,1,4,3,3,5,3,1,2
PERF2332,EMP2163,2024-08-17,1,3,5,2,0,4,2,4
PERF2333,EMP1177,2022-10-11,1,1,1,5,1,1,2,4
PERF2334,EMP1494,2024-04-16,5,5,3,4,5,2,2,2
PERF2335,EMP2202,2023-12-06,3,4,3,5,3,3,3,3
PERF2336,EMP1147,2023-05-28,4,5,4,5,4,4,4,3
PERF2337,EMP2042,2024-07-11,3,4,4,0,0,4,4,3
PERF2338,EMP1542,2024-02-18,1,2,2,2,2,3,1,5
PERF2339,EMP1825,2022-11-30,3,1,2,0,2,5,2,5
PERF2340,EMP1067,2023-06-15,3,5,4,1,0,4,2,2
PERF2341,EMP1216,2024-02-16,2,4,5,3,2,5,3,4
PERF2342,EMP1639,2024-07-05,1,2,2,4,1,4,3,1
PERF2343,EMP2036,2024-03-30,3,5,1,1,1,4,3,1
PERF2344,EMP2450,2022-06-26,2,1,1,3,3,2,1,2
PERF2345,EMP2189,2022-01-04,4,5,4,3,3,3,1,1
PERF2346,EMP1218,2023-05-14,2,4,5,5,2,5,4,3
PERF2347,EMP1272,2022-12-11,5,3,1,2,0,1,4,1
PERF2348,EMP2079,2024-12-15,3,4,1,1,0,4,5,3
PERF2349,EMP1955,2024-10-01,1,1,4,5,2,3,4,3
PERF2350,EMP1186,2023-12-28,5,1,5,4,1,4,5,4
PERF2351,EMP2487,2022-03-08,1,2,3,1,2,1,4,4
PERF2352,EMP1502,2024-07-05,3,3,4,1,1,5,1,3
PERF2353,EMP1248,2024-06-15,3,5,1,2,5,5,1,2
PERF2354,EMP2482,2024-12-30,3,3,1,0,5,2,3,3
PERF2355,EMP1074,2024-07-17,4,3,3,5,2,5,2,3
PERF2356,EMP1510,2022-01-18,1,4,2,3,0,3,3,3
PERF2357,EMP2061,2023-12-03,4,2,3,1,3,4,1,4
PERF2358,EMP1334,2022-04-12,4,4,2,4,1,4,5,4
PERF2359,EMP2020,2022-11-29,2,1,2,1,4,5,2,1
PERF2360,EMP1041,2024-03-02,4,4,2,0,2,2,1,1
PERF2361,EMP1947,2024-04-21,1,2,3,5,4,3,1,4
PERF2362,EMP2056,2024-06-16,4,2,3,5,3,3,1,1
PERF2363,EMP2428,2024-02-05,3,5,4,5,5,2,5,1
PERF2364,EMP1587,2024-10-21,4,1,1,4,5,5,1,1
PERF2365,EMP1752,2023-06-02,4,3,5,2,1,2,1,5
PERF2366,EMP2190,2024-12-14,3,3,5,0,4,2,3,4
PERF2367,EMP2373,2024-12-25,3,1,1,0,1,1,2,2
PERF2368,EMP1363,2024-05-10,5,4,2,3,3,2,2,2
PERF2369,EMP2269,2022-10-21,4,1,2,4,5,3,1,5
PERF2370,EMP2276,2024-06-18,2,1,4,1,2,1,1,5
PERF2371,EMP2279,2022-06-14,1,3,1,4,3,5,3,3
PERF2372,EMP2346,2022-02-07,4,4,2,3,1,3,2,2
PERF2373,EMP2252,2024-01-16,4,3,2,4,3,2,3,1
PERF2374,EMP2290,2022-01-23,1,5,3,1,0,5,3,1
PERF2375,EMP1106,2023-01-04,5,3,5,1,1,5,3,3
PERF2376,EMP2369,2023-05-05,3,4,3,0,5,2,1,2
PERF2377,EMP1420,2022-02-19,5,4,4,2,4,5,2,2
PERF2378,EMP1842,2024-12-29,3,4,5,2,1,2,1,5
PERF2379,EMP2327,2023-07-28,4,5,5,5,1,5,2,1
PERF2380,EMP2082,2022-10-18,1,3,4,1,4,1,3,1
PERF2381,EMP1240,2023-02-16,2,4,1,5,1,3,3,2
PERF2382,EMP1187,2022-08-21,2,4,1,4,1,4,5,2
PERF2383,EMP2196,2024-05-14,4,2,2,2,5,1,5,3
PERF2384,EMP2175,2023-06-06,4,3,5,3,5,3,1,2
PERF2385,EMP1984,2022-01-16,3,4,1,2,0,5,5,1
PERF2386,EMP2392,2022-07-29,1,4,1,3,2,1,5,1
PERF2387,EMP1625,2022-03-18,3,4,4,2,0,1,5,4
PERF2388,EMP1863,2023-05-28,5,3,2,0,4,5,4,3
PERF2389,EMP2060,2023-12-23,5,4,4,1,1,2,3,1
PERF2390,EMP1127,2024-07-10,3,1,4,3,3,1,3,1
PERF2391,EMP1588,2024-08-24,1,1,2,2,2,4,4,2
PERF2392,EMP2096,2024-08-25,4,1,5,1,0,4,1,2
